,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
30,0,0,0,0,0.0,479,303,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,6,0,0,0,0,31,0,5747,4,1,0.0,0,-53,28,81,49,False,0,,,,,,3,129
31,0,0,0,0,0.0,479,313,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,19,0,0,0,0,32,0,5706,0,2,0.0,0,-52,3,55,49,True,0,,,,,,3,129
32,0,0,0,0,0.0,479,328,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,18,0,0,0,0,33,0,5607,2,1,0.0,0,-95,10,105,49,False,0,,,,,,3,129
33,0,0,0,0,0.0,479,332,0,0,0.0,0.0,2022-04-23T16:30:00Z,0,17,0,0,0,0,34,0,5536,0,0,0.0,0,-71,6,77,49,True,0,,,,,,3,129
34,0,0,0,0,0.0,479,344,0,0,0.0,0.0,2022-05-02T19:00:00Z,0,13,0,0,0,0,35,0,5482,0,3,0.0,0,-58,2,60,49,False,0,,,,,,3,129
35,0,0,0,0,0.0,479,352,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,16,0,0,0,0,36,0,5418,0,3,0.0,0,-63,12,75,49,True,0,,,,,,3,129
36,0,0,0,0,0.0,479,362,0,0,0.0,0.0,2022-05-15T15:30:00Z,0,8,0,0,0,0,37,0,5380,3,2,0.0,0,-40,7,47,49,False,0,,,,,,3,129
37,0,0,0,0,0.0,479,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,10,0,0,0,0,38,0,5347,2,1,0.0,0,-33,9,42,49,True,0,,,,,,3,129
38,0,0,0,0,0.0,93,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,2931,2,2,0.0,0,0,0,0,50,False,0,0.0,0.0,0.0,0.0,0.0,3,129
39,0,0,3,0,0.7,93,13,0,0,0.1,0.0,2022-08-13T16:30:00Z,10,14,0,0,0,0,2,0,3306,0,4,0.0,1,-379,159,538,50,True,0,0.0,0.0,0.0,0.18,0.0,3,129
40,0,0,0,0,0.0,93,24,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,9,0,0,0,0,3,0,3788,2,3,0.0,0,-43,555,598,50,False,0,0.0,0.0,0.0,0.0,0.0,3,129
41,0,0,0,0,0.0,93,33,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,8,0,0,0,0,4,0,3659,1,1,0.0,0,-446,246,692,49,True,0,0.0,0.0,0.0,0.0,0.0,3,129
42,0,0,5,0,11.3,93,43,0,0,1.9,5.2,2022-08-30T18:30:00Z,22,7,0,0,0,0,5,0,3559,1,1,2.0,1,-273,179,452,49,False,0,0.17,0.17,0.0,0.11,0.0,3,129
43,0,0,5,0,0.0,93,52,1,0,0.6,6.0,2022-09-03T14:00:00Z,31,11,0,0,0,0,6,0,3551,2,5,0.0,1,-198,185,383,49,True,0,0.0,0.0,0.0,1.43,0.0,3,129
44,0,0,1,0,1.3,93,72,0,0,0.2,0.4,2022-09-18T11:00:00Z,27,1,0,0,0,0,8,0,3686,3,0,0.0,1,-25,63,88,49,True,0,0.0,0.0,0.0,0.28,0.0,3,129
45,0,0,3,0,0.0,93,82,0,0,0.0,0.0,2022-10-01T14:00:00Z,6,3,0,0,0,0,9,0,3802,0,0,0.0,1,39,211,172,49,False,0,0.0,0.0,0.0,0.12,0.0,3,129
46,0,0,4,0,0.8,93,98,2,0,0.5,2.2,2022-10-08T14:00:00Z,27,15,0,0,0,0,10,0,3828,1,5,2.0,1,-44,191,235,48,False,0,0.0,0.0,0.0,0.79,0.0,3,129
47,1,0,14,1,11.1,93,102,0,0,3.9,20.0,2022-10-14T19:00:00Z,70,5,0,0,0,0,11,0,3802,0,2,8.0,6,-73,124,197,48,True,0,0.47,0.6,0.13,1.54,1.0,3,129
48,0,0,1,0,2.7,93,113,0,0,0.9,4.4,2022-10-19T18:30:00Z,59,6,0,0,0,0,12,0,4573,0,0,2.0,1,451,617,166,48,True,0,0.01,0.01,0.0,0.2,1.0,3,129
49,0,0,5,0,20.4,93,121,3,0,5.2,7.6,2022-10-23T13:00:00Z,45,2,0,0,0,0,13,0,4488,0,4,24.0,1,65,348,283,48,False,0,0.0,0.08,0.08,2.26,1.0,3,129
50,0,0,6,0,0.1,93,133,0,0,0.9,8.4,2022-10-29T14:00:00Z,7,20,0,0,0,0,14,0,4409,1,1,0.0,1,-108,237,345,48,True,0,0.0,0.0,0.0,0.06,0.0,3,129
51,0,0,5,0,0.6,93,146,1,0,0.7,6.4,2022-11-05T15:00:00Z,45,16,0,0,0,0,15,0,4267,2,2,0.0,1,-178,119,297,48,False,0,0.01,0.01,0.0,0.74,0.0,3,129
52,0,0,3,0,10.9,93,155,1,0,4.2,10.4,2022-11-12T12:30:00Z,86,13,0,0,0,0,16,0,4159,2,1,21.0,2,-135,68,203,48,False,0,0.01,0.17,0.16,1.41,1.0,3,129
53,0,0,0,0,0.0,93,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,18,0,0,0,0,17,0,4130,2,2,0.0,0,-113,238,351,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
54,0,0,0,0,0.0,93,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,19,0,0,0,0,18,0,3921,2,0,0.0,0,-201,12,213,48,False,0,0.0,0.0,0.0,0.0,0.0,3,129
55,0,0,0,0,0.0,93,183,0,0,0.0,0.0,2023-01-02T17:30:00Z,0,12,0,0,0,0,19,0,3783,1,3,0.0,0,-146,22,168,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
56,0,0,0,0,0.0,93,192,0,0,0.0,0.0,2023-01-14T17:30:00Z,0,3,0,0,0,0,20,0,3638,0,2,0.0,0,-146,8,154,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
57,0,0,0,0,0.0,93,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,11,0,0,0,0,21,0,3524,0,0,0.0,0,-110,5,115,48,False,0,0.0,0.0,0.0,0.0,0.0,3,129
58,0,0,0,0,0.0,93,212,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,17,0,0,0,0,22,0,3442,0,3,0.0,0,-86,23,109,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
59,0,0,0,0,0.0,93,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,1,0,0,0,0,23,0,3446,1,1,0.0,0,-1,49,50,48,False,0,0.0,0.0,0.0,0.0,0.0,3,129
60,0,0,0,0,0.0,93,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,7,0,0,0,0,24,0,3414,1,1,0.0,0,-36,15,51,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
61,0,0,0,0,0.0,93,253,0,0,0.0,0.0,2023-03-06T20:00:00Z,0,9,0,0,0,0,26,0,3355,2,3,0.0,0,-4,8,12,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
62,0,0,2,0,1.0,93,263,0,0,0.3,2.2,2023-03-11T15:00:00Z,16,8,0,0,0,0,27,0,3396,0,1,0.0,1,21,37,16,48,False,0,0.01,0.01,0.0,0.03,0.0,3,129
63,0,0,4,0,0.0,93,69,0,0,0.5,5.4,2023-03-15T19:30:00Z,45,17,0,0,0,0,27,0,3396,2,0,0.0,1,21,37,16,48,False,0,0.0,0.0,0.0,0.39,0.0,3,129
64,0,0,0,0,0.0,93,273,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,10,0,0,0,0,28,0,3454,1,1,0.0,0,27,44,17,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
65,0,0,0,0,0.0,93,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,5,0,0,0,0,29,0,3461,3,3,0.0,0,4,38,34,48,False,0,0.0,0.0,0.0,0.0,0.0,3,129
66,0,0,0,0,0.0,93,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,14,0,0,0,0,29,0,3461,0,1,0.0,0,4,38,34,48,False,0,0.0,0.0,0.0,0.0,0.0,3,129
67,0,0,0,0,0.0,93,292,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,15,0,0,0,0,30,0,3435,2,1,0.0,0,-29,17,46,48,True,0,0.0,0.0,0.0,0.0,0.0,3,129
68,0,0,0,0,0.0,93,310,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,20,0,0,0,0,31,0,3418,0,2,0.0,0,-23,10,33,48,False,0,0.0,0.0,0.0,0.0,0.0,3,129
69,0,0,-2,0,0.5,93,313,1,0,2.6,4.2,2023-04-22T14:00:00Z,45,2,0,0,0,0,32,0,3430,1,1,21.0,1,3,21,18,48,True,0,0.0,0.5,0.5,1.63,0.0,3,129
70,0,0,8,1,1.9,93,328,0,0,0.8,4.0,2023-04-26T18:45:00Z,61,6,0,0,0,0,33,0,3419,2,0,2.0,3,-9,11,20,48,False,0,0.0,0.0,0.0,1.08,1.0,3,129
71,2,0,22,0,12.0,93,333,0,0,4.2,21.0,2023-04-29T14:00:00Z,19,16,0,0,0,0,34,0,3461,1,2,9.0,7,38,51,13,48,True,0,0.01,0.04,0.03,0.05,0.0,3,129
72,0,0,7,0,1.5,93,344,1,0,0.6,2.2,2023-05-06T16:30:00Z,71,12,0,0,0,0,35,0,3591,0,1,2.0,2,111,157,46,48,False,0,0.0,0.03,0.03,1.71,1.0,3,129
73,0,0,2,0,1.3,93,353,0,0,2.2,9.2,2023-05-14T13:00:00Z,20,19,0,0,0,0,36,0,3610,0,2,11.0,1,7,47,40,48,True,0,0.01,0.1,0.09,0.11,0.0,3,129
74,0,0,6,0,11.8,93,368,1,0,2.0,6.6,2023-05-20T11:30:00Z,45,18,0,0,0,0,37,0,3634,3,1,2.0,1,10,67,57,48,False,0,0.02,0.02,0.0,0.96,1.0,3,129
75,0,0,7,1,0.0,93,373,0,0,0.0,0.0,2023-05-28T15:30:00Z,80,13,0,0,0,0,38,0,3672,0,1,0.0,3,19,69,50,48,True,0,0.06,0.07,0.01,0.57,1.0,3,129
76,0,0,16,0,0.8,129,20,1,0,1.8,16.8,2023-08-19T14:00:00Z,90,20,0,0,0,0,2,0,409437,4,1,0.0,2,-1953,27306,29259,50,False,0,0.00,0.00,0.00,2.06,1.0,3,129
77,0,0,15,0,17.9,129,24,3,0,7.6,22.0,2023-08-26T16:30:00Z,90,19,0,0,0,0,3,0,396760,3,1,36.0,1,-23762,22701,46463,50,True,0,0.07,0.24,0.17,3.33,1.0,3,129
78,0,0,14,0,12.4,129,33,1,0,3.3,12.8,2023-09-02T16:30:00Z,90,15,0,0,0,0,4,0,380390,1,3,8.0,2,-23207,15287,38494,50,True,0,0.02,0.03,0.01,1.30,1.0,3,129
79,0,0,17,0,0.3,129,45,1,0,1.8,18.0,2023-09-16T14:00:00Z,90,14,0,0,0,0,5,0,383682,3,1,0.0,2,-8219,20600,28819,50,False,0,0.01,0.01,0.00,0.96,1.0,3,129
80,0,0,12,0,0.7,129,53,1,0,3.8,22.6,2023-09-24T13:00:00Z,90,3,0,0,0,0,6,0,373577,1,3,15.0,1,-14079,22140,36219,50,True,1,0.01,0.29,0.28,1.37,1.0,3,129
81,0,0,11,0,3.9,129,61,6,0,2.9,23.4,2023-09-30T11:30:00Z,90,2,0,0,0,0,7,0,358030,1,6,2.0,-2,-17719,13748,31467,50,False,1,0.16,0.16,0.00,1.58,1.0,3,129
82,0,1,27,0,15.1,129,72,2,1,10.9,52.6,2023-10-08T13:00:00Z,90,11,0,0,0,0,8,0,344242,2,2,41.0,8,-15319,10822,26141,50,True,0,0.06,0.85,0.79,2.49,1.0,3,129
83,0,0,20,0,1.1,129,86,2,0,2.2,20.6,2023-10-21T14:00:00Z,90,13,0,0,0,0,9,0,368227,1,2,0.0,1,17530,29657,12127,50,False,0,0.02,0.02,0.00,0.75,1.0,3,129
84,0,0,12,0,1.8,129,94,1,0,3.1,28.2,2023-10-29T14:00:00Z,90,10,0,0,0,0,10,0,397161,1,1,1.0,2,25770,40835,15065,50,True,0,0.02,0.10,0.08,0.71,1.0,3,129
85,0,0,11,0,3.4,129,103,1,0,4.5,30.4,2023-11-04T15:00:00Z,90,9,0,0,0,0,11,0,438002,1,1,11.0,1,36910,51081,14171,50,False,1,0.05,0.19,0.14,0.71,1.0,3,129
86,0,0,0,0,0.0,129,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,17,0,0,0,0,12,0,424595,1,1,0.0,0,-12406,36719,49125,50,True,0,0.00,0.00,0.00,0.00,0.0,3,129
87,0,0,6,0,2.3,129,128,2,0,3.7,21.6,2023-11-25T15:00:00Z,72,16,0,0,0,1,13,0,374505,3,2,13.0,-2,-50559,9726,60285,50,False,0,0.40,0.52,0.12,2.55,1.0,3,129
88,0,0,0,0,0.0,129,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,7,0,0,0,0,14,0,316942,2,3,0.0,0,-57551,739,58290,50,False,0,0.00,0.00,0.00,0.00,0.0,3,129
89,0,0,0,0,0.0,129,142,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,4,0,0,0,0,15,0,294161,1,2,0.0,0,-23859,138,23997,50,True,0,0.00,0.00,0.00,0.00,0.0,3,129
90,0,0,16,0,24.9,129,152,1,0,4.8,23.2,2023-12-09T15:00:00Z,84,6,0,0,0,0,16,0,306042,1,1,0.0,2,8999,15727,6728,50,True,0,0.05,0.05,0.00,0.94,1.0,3,129
91,0,0,13,0,2.3,129,161,2,0,3.9,33.6,2023-12-17T14:00:00Z,90,1,0,0,0,0,17,0,299635,0,2,3.0,1,-5579,6273,11852,50,False,0,0.02,0.04,0.02,2.26,1.0,3,129
92,0,0,9,0,3.4,129,172,1,0,2.5,17.4,2023-12-21T20:00:00Z,90,8,0,0,0,0,18,0,320068,1,1,4.0,2,14278,19366,5088,50,False,0,0.05,0.17,0.12,1.36,1.0,3,129
93,0,0,10,0,3.4,129,184,2,0,7.2,20.0,2023-12-28T19:30:00Z,90,18,0,0,0,0,19,0,312813,2,4,49.0,0,-3683,5859,9542,50,True,1,0.01,0.48,0.48,2.48,1.0,3,129
94,0,0,0,0,0.0,129,199,0,0,0.0,0.0,2024-01-02T19:30:00Z,0,19,0,0,0,0,20,0,287620,0,0,0.0,0,-25039,2932,27971,50,False,0,0.00,0.00,0.00,0.00,0.0,3,129
