assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,,,,0,12,0,,,2.1,,,57,,,58,,2,0,1.4,,11.6,,2022-09-03T14:00:00Z,,,,90,,,16,0,,0,0,,0,6,0,14330,,,,3,2,0.0,1,15,972,957,44,False,,0,0.0,0.0,0.0,1.9,1.0
0,,,,0,7,0,,,0.4,,,57,,,77,,1,0,1.0,,10.0,,2022-09-17T14:00:00Z,,,,90,,,15,0,,0,0,,0,8,0,14138,,,,1,1,0.0,2,-141,364,505,44,False,,0,0.01,0.01,0.0,1.92,1.0
0,,,,2,30,1,,,15.3,,,57,,,82,,0,0,3.1,,15.6,,2022-10-01T14:00:00Z,,,,90,,,4,0,,0,0,,0,9,0,14768,,,,0,0,0.0,8,339,1165,826,44,True,,0,0.06,0.06,0.0,0.87,1.0
0,,,,0,14,0,,,1.0,,,57,,,92,,1,0,1.3,,11.6,,2022-10-08T14:00:00Z,,,,90,,,10,0,,0,0,,0,10,0,17183,,,,1,2,0.0,2,1930,3148,1218,44,True,,0,0.02,0.02,0.0,1.08,1.0
0,,,,0,7,0,,,0.6,,,57,,,103,,2,0,6.1,,27.2,,2022-10-15T14:00:00Z,,,,90,,,9,0,,0,0,,0,11,0,20699,,,,2,2,33.0,1,3188,4517,1329,44,False,,0,0.0,0.26,0.26,2.13,1.0
0,,,,0,17,0,,,21.3,,,57,,,112,,1,0,4.0,,19.0,,2022-10-19T18:30:00Z,,,,90,,,17,0,,0,0,,0,12,0,25087,,,,1,0,0.0,2,1565,3416,1851,44,True,,0,0.17,0.17,0.0,1.03,1.0
0,,,,0,12,0,,,5.5,,,57,,,129,,2,0,1.6,,10.0,,2022-10-24T19:00:00Z,,,,90,,,19,0,,0,0,,0,13,0,20051,,,,0,2,0.0,1,-2369,659,3028,44,False,,0,0.04,0.04,0.0,1.9,1.0
1,,,,1,23,0,,,14.5,,,57,,,132,,3,0,4.4,,29.8,,2022-10-29T14:00:00Z,,,,90,,,18,0,,0,0,,0,14,0,20232,,,,3,2,0.0,5,-113,1588,1701,44,True,,0,0.25,0.25,0.0,2.09,1.0
0,,,,0,9,0,,,0.7,,,57,,,144,,4,0,1.7,,16.0,,2022-11-05T15:00:00Z,,,,90,,,11,0,,0,0,,0,15,0,21910,,,,3,4,0.0,0,1322,2996,1674,44,False,,0,0.01,0.01,0.0,2.16,1.0
0,,,,2,28,1,,,14.8,,,57,,,151,,0,0,3.6,,21.2,,2022-11-12T15:00:00Z,,,,90,,,8,0,,0,0,,0,16,0,24218,,,,0,3,0.0,8,1848,4653,2805,44,True,,0,0.04,0.04,0.0,0.83,1.0
0,,,,0,8,0,,,2.3,,,57,,,164,,2,0,1.4,,5.4,,2022-12-27T17:30:00Z,,,,90,,,6,0,,0,0,,0,17,0,27296,,,,0,2,6.0,1,2417,11969,9552,44,False,,0,0.01,0.01,0.0,1.74,1.0
0,,,,0,11,0,,,1.8,,,57,,,171,,2,0,1.3,,11.6,,2022-12-31T15:00:00Z,,,,90,,,7,0,,0,0,,0,18,0,29884,,,,2,0,0.0,1,2352,4059,1707,44,True,,0,0.03,0.03,0.0,1.49,1.0
0,,,,0,5,0,,,15.4,,,57,,,189,,2,0,2.8,,10.4,,2023-01-03T20:00:00Z,,,,62,,,14,0,,0,0,,0,19,0,26312,,,,0,3,2.0,0,-3458,239,3697,44,False,,1,0.08,0.08,0.0,1.24,1.0
0,,,,0,0,0,,,0.0,,,57,,,192,,0,0,0.0,,0.0,,2023-01-14T17:30:00Z,,,,0,,,4,0,,0,0,,0,20,0,21427,,,,0,2,0.0,0,-4874,78,4952,44,False,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,9,0,,,0.9,,,57,,,202,,1,0,0.6,,5.0,,2023-01-21T15:00:00Z,,,,90,,,16,0,,0,0,,0,21,0,23061,,,,1,1,0.0,2,1263,2639,1376,44,True,,0,0.01,0.01,0.0,1.77,1.0
0,,,,0,3,0,,,0.7,,,57,,,213,,1,0,0.6,,5.0,,2023-02-04T15:00:00Z,,,,90,,,5,0,,0,0,,0,22,0,20450,,,,0,1,0.0,1,-2583,252,2835,44,False,,1,0.0,0.0,0.0,2.61,1.0
0,,,,0,1,0,,,0.0,,,57,,,222,,1,0,0.1,,1.2,,2023-02-11T17:30:00Z,,,,78,,,15,0,,0,0,,0,23,0,20000,,,,1,1,0.0,1,-555,300,855,43,True,,1,0.0,0.0,0.0,1.16,1.0
0,,,,0,15,1,,,0.7,,,57,,,240,,0,0,1.2,,11.6,,2023-02-18T15:00:00Z,,,,90,,,20,0,,0,0,,0,24,0,19762,,,,1,0,0.0,5,-306,397,703,43,False,,1,0.01,0.01,0.0,1.16,1.0
0,,,,0,4,0,,,0.6,,,57,,,241,,4,0,1.4,,6.6,,2023-02-25T17:30:00Z,,,,58,,,13,0,,0,0,,0,25,0,19581,,,,4,1,7.0,-1,-332,689,1021,43,True,,0,0.0,0.05,0.05,1.89,1.0
0,,,,0,10,0,,,0.3,,,57,,,251,,3,0,1.3,,13.0,,2023-03-04T15:00:00Z,,,,90,,,1,0,,0,0,,0,26,0,19947,,,,2,3,0.0,1,331,1208,877,43,False,,0,0.0,0.0,0.0,2.6,1.0
0,,,,0,18,1,,,4.3,,,57,,,261,,0,0,1.2,,7.2,,2023-03-11T12:30:00Z,,,,79,,,12,0,,0,0,,0,27,0,20058,,,,0,1,0.0,6,37,1275,1238,43,True,,0,0.02,0.02,0.0,1.67,1.0
0,,,,0,11,0,,,26.0,,,57,,,272,,1,0,3.5,,7.4,,2023-03-18T15:00:00Z,,,,78,,,2,0,,0,0,,0,28,0,18823,,,,0,3,2.0,2,-1123,493,1616,43,False,,0,0.09,0.09,0.0,1.63,1.0
0,,,,0,3,0,,,2.3,,,57,,,282,,1,0,0.7,,1.0,,2023-04-01T14:00:00Z,,,,90,,,9,0,,0,0,,0,29,0,24468,,,,1,2,4.0,2,4670,5563,893,43,True,,0,0.01,0.01,0.0,0.84,1.0
0,,,,0,6,0,,,0.6,,,57,,,62,,2,0,1.0,,9.8,,2023-04-04T18:45:00Z,,,,90,,,5,0,,0,0,,0,29,0,24468,,,,2,0,0.0,1,4670,5563,893,43,True,,0,0.0,0.0,0.0,2.76,1.0
0,,,,0,20,1,,,5.5,,,57,,,295,,0,0,2.0,,12.6,,2023-04-08T14:00:00Z,,,,90,,,10,0,,0,0,,0,30,0,21186,,,,1,0,2.0,5,-2718,366,3084,43,False,,1,0.02,0.06,0.04,0.68,1.0
0,,,,0,4,0,,,0.2,,,57,,,308,,1,0,1.0,,10.0,,2023-04-15T14:15:00Z,,,,41,,,18,0,,0,0,,0,31,0,21192,,,,3,2,0.0,1,-51,664,715,43,False,,0,0.0,0.0,0.0,1.1,0.0
0,,,,0,10,0,,,26.7,,,57,,,312,,3,0,4.3,,14.2,,2023-04-23T13:00:00Z,,,,60,,,19,0,,0,0,,0,32,0,23384,,,,4,0,2.0,1,1034,1595,561,43,True,,0,0.04,0.04,0.0,1.23,1.0
0,,,,0,4,0,,,0.0,,,57,,,330,,0,0,0.4,,4.0,,2023-04-27T18:45:00Z,,,,12,,,17,0,,0,0,,0,33,0,22282,,,,1,0,0.0,1,-45,787,832,43,False,,0,0.0,0.0,0.0,0.15,0.0
0,,,,0,14,0,,,14.7,,,57,,,332,,1,0,3.0,,15.4,,2023-04-30T13:00:00Z,,,,90,,,11,0,,0,0,,0,34,0,22265,,,,1,4,0.0,1,64,1517,1453,43,True,,1,0.23,0.23,0.0,1.67,1.0
0,,,,0,9,0,,,0.6,,,57,,,341,,3,0,0.8,,7.2,,2023-05-06T14:00:00Z,,,,90,,,6,0,,0,0,,0,35,0,23726,,,,3,1,0.0,1,1147,2501,1354,43,True,,0,0.01,0.01,0.0,1.39,1.0
0,,,,0,3,0,,,0.2,,,57,,,355,,0,0,0.2,,1.6,,2023-05-13T14:00:00Z,,,,30,,,7,0,,0,0,,0,36,0,23432,,,,0,2,0.0,1,-277,1340,1617,43,False,,0,0.0,0.0,0.0,0.11,0.0
0,,,,0,11,0,,,44.0,,,57,,,361,,1,0,6.3,,14.6,,2023-05-20T14:00:00Z,,,,65,,,14,0,,0,0,,0,37,0,22512,,,,1,0,4.0,2,-907,834,1741,43,True,,0,0.14,0.14,0.0,1.25,1.0
0,,,,0,11,0,,,0.0,,,57,,,376,,1,0,0.0,,0.0,,2023-05-28T15:30:00Z,,,,82,,,8,0,,0,0,,0,38,0,21941,,,,0,1,0.0,1,-692,652,1344,43,False,,1,0.08,0.08,0.0,0.82,1.0
0,,,,0,0,0,,,0.0,,,84,,,3,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,19,0,,0,0,,0,1,0,2685,,,,1,1,0.0,0,0,0,0,45,True,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,0,0,,,0.0,,,84,,,14,,0,0,0.0,,0.0,,2023-08-19T14:00:00Z,,,,0,,,11,0,,0,0,,0,2,0,1990,,,,1,3,0.0,0,-729,44,773,45,False,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,0,0,,,0.0,,,84,,,22,,0,0,0.0,,0.0,,2023-08-26T11:30:00Z,,,,0,,,18,0,,0,0,,0,3,0,1663,,,,2,0,0.0,0,-365,31,396,44,True,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,0,0,,,0.0,,,84,,,32,,0,0,0.0,,0.0,,2023-09-02T14:00:00Z,,,,0,,,4,0,,0,0,,0,4,0,1481,,,,2,2,0.0,0,-212,43,255,44,False,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,0,0,,,0.0,,,84,,,42,,0,0,0.0,,0.0,,2023-09-17T13:00:00Z,,,,0,,,7,0,,0,0,,0,5,0,1619,,,,0,0,0.0,0,-40,98,138,44,True,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,0,0,,,0.0,,,84,,,53,,0,0,0.0,,0.0,,2023-09-24T13:00:00Z,,,,0,,,5,0,,0,0,,0,6,0,1651,,,,1,3,0.0,0,-29,64,93,44,False,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,2,0,,,1.2,,,84,,,62,,1,0,0.2,,0.6,,2023-09-30T14:00:00Z,,,,7,,,1,0,,0,0,,0,7,0,1704,,,,4,0,0.0,1,4,82,78,44,True,,0,0.03,0.03,0.0,0.58,0.0
0,,,,0,13,0,,,23.3,,,84,,,75,,3,0,4.1,,15.4,,2023-10-07T14:00:00Z,,,,85,,,9,0,,0,0,,0,8,0,1835,,,,0,3,2.0,1,52,162,110,44,False,,0,0.13,0.13,0.0,2.54,1.0
0,,,,0,0,0,,,0.0,,,84,,,82,,0,0,0.0,,0.0,,2023-10-21T14:00:00Z,,,,0,,,20,0,,0,0,,0,9,0,2012,,,,2,1,0.0,0,80,178,98,44,True,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,3,0,,,0.0,,,84,,,93,,0,0,0.2,,2.0,,2023-10-28T14:00:00Z,,,,5,,,6,0,,0,0,,0,10,0,1985,,,,1,2,0.0,1,-61,85,146,44,True,,0,0.0,0.0,0.0,0.6,0.0
0,,,,0,0,0,,,0.0,,,84,,,106,,0,0,0.0,,0.0,,2023-11-04T15:00:00Z,,,,0,,,13,0,,0,0,,0,11,0,1969,,,,1,6,0.0,0,-51,65,116,44,False,,0,0.0,0.0,0.0,0.0,0.0
0,,,,0,3,0,,,0.1,,,84,,,113,,0,0,0.3,,3.2,,2023-11-11T17:30:00Z,,,,22,,,15,0,,0,0,,0,12,0,2028,,,,0,2,0.0,1,20,86,66,44,True,,0,0.0,0.0,0.0,0.21,0.0
1,,,,0,21,0,,,22.1,,,84,,,129,,1,0,4.9,,27.2,,2023-11-25T15:00:00Z,,,,90,,,17,0,,0,0,,0,13,0,2257,,,,3,1,0.0,5,136,229,93,44,False,,0,0.37,0.37,0.0,0.81,1.0
0,,,,0,10,0,,,4.5,,,84,,,132,,2,0,1.6,,11.2,,2023-12-03T14:00:00Z,,,,90,,,2,0,,0,0,,0,14,0,2748,,,,2,2,0.0,1,431,555,124,44,True,,0,0.05,0.05,0.0,0.68,1.0
0,,,,0,21,1,,,23.0,,,84,,,143,,0,0,5.6,,32.8,,2023-12-06T19:30:00Z,,,,90,,,8,0,,0,0,,0,15,0,3014,,,,2,0,0.0,6,261,430,169,44,False,,0,0.15,0.15,0.0,0.84,1.0
0,,,,0,22,1,,,0.8,,,84,,,157,,0,0,1.6,,14.8,,2023-12-09T15:00:00Z,,,,90,,,14,0,,0,0,,0,16,0,3270,,,,3,0,0.0,6,195,505,310,44,False,,0,0.0,0.0,0.0,1.16,1.0
1,,,,0,30,0,,,36.0,,,84,,,177,,2,0,7.8,,41.8,,2023-12-23T15:00:00Z,,,,90,,,16,0,,0,0,,0,18,0,7338,,,,3,2,0.0,4,-245,961,1206,44,False,,0,0.08,0.08,0.0,0.75,1.0
0,,,,0,24,1,,,0.9,,,84,,,182,,0,0,1.1,,9.8,,2023-12-26T15:00:00Z,,,,90,,,10,0,,0,0,,0,19,0,9781,,,,0,3,0.0,6,2181,3415,1234,44,True,,0,0.0,0.0,0.0,0.28,1.0
